"TC_ID","Module","API Endpoint","Description / Test Scenario","Test Type","Test Steps","Expected Result"
"TC_AUTH_VERIFY_01","Authentication","POST /oauth2/verify","Verify user auth with valid username, password, clientId","Positive","1. Send POST with clientId, username, password.","Returns 200 OK with an authorizationCode"
"TC_AUTH_VERIFY_02","Authentication","POST /oauth2/verify","Verify user auth with invalid username or password","Negative","1. Send POST with invalid credentials.","Returns 401 Unauthorized"
"TC_AUTH_TOKEN_01","Authentication","POST /oauth2/token","Verify token generation using authorizationCode","Positive","1. Send POST with clientId, clientSecret, and valid authorizationCode.","Returns 200 OK with Bearer access_token"
"TC_AUTH_TOKEN_02","Authentication","POST /oauth2/token","Verify token generation with invalid or expired authorizationCode","Negative","1. Send POST with invalid authorizationCode.","Returns 400/401 Error"
"TC_HEADER_01","Security","All V3 APIs","Verify requests with valid signature and dateAtClient headers","Positive","1. Compute HMAC signature using token/secret\n2. Pass signature and dateAtClient","Returns 200 OK (access granted)"
"TC_HEADER_02","Security","All V3 APIs","Verify requests missing signature or dateAtClient headers","Negative","1. Omit signature header in a catalog API call.","Returns 401/403 Unauthorized due to signature validation failure"
"TC_CAT_01","Catalog - Category","GET /rest/v3/catalog/categories/{id}","Verify fetching details of a specific category ID (e.g. 121)","Positive","1. Send GET request with valid category ID.","Returns 200 OK with Category details"
"TC_CAT_02","Catalog - Category","GET /rest/v3/catalog/categories/{id}","Verify fetching category details with invalid category ID","Negative","1. Send GET request with invalid category ID.","Returns 404 Not Found"
"TC_CAT_PROD_01","Catalog - Category","GET /rest/v3/catalog/categories/{id}/products","Verify fetching all products within a specific category","Positive","1. Send GET request with valid category ID.","Returns 200 OK with list of mapped products"
"TC_PROD_01","Catalog - Products","GET /rest/v3/catalog/products/{sku}","Verify fetching product details of a specific SKU (e.g. EGCGBAMZ001)","Positive","1. Send GET request with valid SKU.","Returns 200 OK with detailed product data (price, terms, images)"
"TC_PROD_02","Catalog - Products","GET /rest/v3/catalog/products/{sku}","Verify fetching product details with invalid SKU","Negative","1. Send GET request with invalid SKU.","Returns 404 Not Found"
"TC_ORD_01","Orders - Create","POST /rest/v3/orders","Verify order creation in SYNC mode (syncOnly: true)","Positive","1. Send POST request with valid payload and syncOnly=true.","Returns 201 Created, Status: COMPLETE, and includes card/PIN details in response"
"TC_ORD_02","Orders - Create","POST /rest/v3/orders","Verify order creation in ASYNC mode (syncOnly: false)","Positive","1. Send POST request with valid payload and syncOnly=false.","Returns 202 Accepted, Status: PROCESSING. Card details are NOT in response immediately"
"TC_ORD_03","Orders - Create","POST /rest/v3/orders","Verify physical card activation via Order API (valid cardnumber)","Positive","1. Pass `cardnumber` in product array\n2. Send POST request.","Returns 201 Created, Status: COMPLETE indicating successful activation"
"TC_ORD_04","Orders - Create","POST /rest/v3/orders","Verify physical card activation details when activation fails via Woohoo processing","Negative/Edge","1. Pass physical `cardnumber` (simulate delay/failure)\n2. Send POST request.","Returns 201 Created but Status: PROCESSING instead of COMPLETE"
"TC_ORD_05","Orders - Create","POST /rest/v3/orders","Verify idempotency with duplicate reference number (refno)","Negative","1. Send POST request with a previously used refno.","Returns 400 Bad Request, code: 5313, message: 'Duplicate reference number provided'"
"TC_ORD_06","Orders - Create","POST /rest/v3/orders","Verify order creation with missing mandatory address fields","Negative","1. Omit email or telephone in `address` block\n2. Send POST.","Returns 400 Bad Request, validation error for missing contact details"
"TC_ORD_07","Orders - Create","POST /rest/v3/orders","Verify ordering a Bank payout product type","Positive","1. Include payout object (type: BANK_ACCOUNT, ifscCode, accountNumber)\n2. Send POST.","Returns 201/202 Order created for Bank Transfer"
